merge_a,merge_b,analysis,response_window_ms,baseline_window_ms,minimum_previous_interval_ms,n_groups,median,n_positive,n_nonzero,p_wilcoxon,p_sign,q_wilcoxon
anm106211,anm106213,baseline_subtracted_rate,50,50.0,30,19,0.1491383290226794,13,19,0.01082611083984375,0.1670684814453125,0.02460479736328125
anm106211,anm106213,baseline_subtracted_rate,50,50.0,50,19,0.071154156564849,11,19,0.06628799438476562,0.6476058959960938,0.10357499122619629
anm106211,anm106213,baseline_subtracted_rate,50,50.0,100,18,-0.0231802027624686,8,18,0.8985748291015625,0.8145294189453125,0.8985748291015625
anm106211,anm106213,baseline_subtracted_rate,50,50.0,250,2,-0.10658187192309415,0,2,,,
anm106211,anm131970,post_only,10,,0,20,0.00923252956546945,11,20,0.8408222198486328,0.8238029479980469,0.9661178588867188
anm106211,anm131970,post_only,10,,20,20,-0.0008697940638600497,10,20,0.7561664581298828,1.0,0.9661178588867188
anm106211,anm131970,post_only,10,,30,19,-0.005903262051202,9,19,0.9529838562011719,1.0,0.9661178588867188
anm106211,anm131970,post_only,10,,50,19,-0.015154442592075601,8,19,0.8595733642578125,0.6476058959960938,0.9661178588867188
anm106211,anm131970,post_only,10,,100,18,-0.0180450292087564,7,18,0.9661178588867188,0.480682373046875,0.9661178588867188
anm106211,anm131970,post_only,10,,250,3,-0.0928174314796179,0,3,,,
anm106211,anm131970,post_only,20,,0,20,0.018751927465005373,12,20,0.2942523956298828,0.5034446716308594,0.6130258242289225
anm106211,anm131970,post_only,20,,20,20,0.024762148429473378,13,20,0.21616744995117188,0.26317596435546875,0.6130258242289225
anm106211,anm131970,post_only,20,,30,19,0.014921921055925297,11,19,0.24125289916992188,0.6476058959960938,0.6130258242289225
anm106211,anm131970,post_only,20,,50,19,0.0300148131171612,13,19,0.104156494140625,0.1670684814453125,0.520782470703125
anm106211,anm131970,post_only,20,,100,18,0.015540992079199,11,18,0.39273834228515625,0.480682373046875,0.6136536598205566
anm106211,anm131970,post_only,20,,250,3,-0.0956687218878489,0,3,,,
anm106211,anm131970,post_only,30,,0,19,0.0238048628150489,14,19,0.07987594604492188,0.063568115234375,0.520782470703125
anm106211,anm131970,post_only,30,,20,19,0.0227200038264432,13,19,0.07987594604492188,0.1670684814453125,0.520782470703125
anm106211,anm131970,post_only,30,,30,19,0.0256273746886862,14,19,0.049365997314453125,0.063568115234375,0.520782470703125
anm106211,anm131970,post_only,30,,50,19,0.0541836004423411,12,19,0.09551239013671875,0.359283447265625,0.520782470703125
anm106211,anm131970,post_only,30,,100,19,-0.0183424481425196,9,19,0.9217147827148438,1.0,0.9661178588867188
anm106211,anm131970,post_only,30,,250,3,-0.1217673959799138,0,3,,,
anm106211,anm131970,post_only,40,,0,19,0.0044194482975804,12,19,0.24125289916992188,0.359283447265625,0.6130258242289225
anm106211,anm131970,post_only,40,,20,19,0.0020757340315611,10,19,0.4413337707519531,1.0,0.6462732950846354
anm106211,anm131970,post_only,40,,30,19,0.0146234266598146,12,19,0.2934989929199219,0.359283447265625,0.6130258242289225
anm106211,anm131970,post_only,40,,50,19,0.0121136245138765,10,19,0.2753410339355469,1.0,0.6130258242289225
anm106211,anm131970,post_only,40,,100,19,-0.0307493135986071,6,19,0.4653167724609375,0.1670684814453125,0.6462732950846354
anm106211,anm131970,post_only,40,,250,3,-0.097029412356623,0,3,,,
anm106211,anm131970,post_only,50,,0,19,0.0180504917592215,10,19,0.3320655822753906,1.0,0.6136536598205566
anm106211,anm131970,post_only,50,,20,19,-0.0023746533557242,9,19,0.37359619140625,1.0,0.6136536598205566
anm106211,anm131970,post_only,50,,30,19,0.0031900774640891,11,19,0.37359619140625,0.6476058959960938,0.6136536598205566
anm106211,anm131970,post_only,50,,50,19,-0.0018827122806315,9,19,0.8595733642578125,1.0,0.9661178588867188
anm106211,anm131970,post_only,50,,100,19,-0.0286070217431398,6,19,0.25792694091796875,0.1670684814453125,0.6130258242289225
anm106211,anm131970,post_only,50,,250,2,-0.1063903969479221,0,2,,,
anm106211,anm131970,baseline_subtracted_rate,50,10.0,0,19,0.0861895426940219,12,19,0.0180816650390625,0.359283447265625,0.037670135498046875
anm106211,anm131970,baseline_subtracted_rate,50,10.0,20,19,0.0573534456858365,13,19,0.025821685791015625,0.1670684814453125,0.040346384048461914
anm106211,anm131970,baseline_subtracted_rate,50,10.0,30,19,0.0618128222636151,14,19,0.02298736572265625,0.063568115234375,0.038312276204427086
anm106211,anm131970,baseline_subtracted_rate,50,10.0,50,19,0.0158847815830023,11,19,0.5948867797851562,0.6476058959960938,0.7081985473632812
anm106211,anm131970,baseline_subtracted_rate,50,10.0,100,19,-0.014962037739337101,8,19,0.5412178039550781,0.6476058959960938,0.6765222549438477
anm106211,anm131970,baseline_subtracted_rate,50,10.0,250,2,-0.05142430343574234,0,2,,,
anm106211,anm131970,baseline_subtracted_rate,50,20.0,0,19,0.1090429246720323,13,19,0.00823211669921875,0.1670684814453125,0.020580291748046875
anm106211,anm131970,baseline_subtracted_rate,50,20.0,20,19,0.1101606091879167,13,19,0.00945281982421875,0.1670684814453125,0.021483681418678978
anm106211,anm131970,baseline_subtracted_rate,50,20.0,30,19,0.059871434536086246,13,19,0.020412445068359375,0.1670684814453125,0.038312276204427086
anm106211,anm131970,baseline_subtracted_rate,50,20.0,50,19,0.0158847815830023,12,19,0.25792694091796875,0.359283447265625,0.3393775538394326
anm106211,anm131970,baseline_subtracted_rate,50,20.0,100,19,-0.0152318462472631,9,19,0.7982521057128906,1.0,0.8676653322966202
anm106211,anm131970,baseline_subtracted_rate,50,20.0,250,2,-0.0672924713718695,0,2,,,
anm106211,anm131970,baseline_subtracted_rate,50,30.0,0,19,0.1627356550292969,14,19,0.00457763671875,0.063568115234375,0.020580291748046875
anm106211,anm131970,baseline_subtracted_rate,50,30.0,20,19,0.11660460305467221,13,19,0.007144927978515625,0.1670684814453125,0.020580291748046875
anm106211,anm131970,baseline_subtracted_rate,50,30.0,30,19,0.1218635040870457,14,19,0.0061798095703125,0.063568115234375,0.020580291748046875
anm106211,anm131970,baseline_subtracted_rate,50,30.0,50,19,0.0158847815830023,12,19,0.22532272338867188,0.359283447265625,0.31294822692871094
anm106211,anm131970,baseline_subtracted_rate,50,30.0,100,19,-0.0132762792777806,9,19,0.7982521057128906,1.0,0.8676653322966202
anm106211,anm131970,baseline_subtracted_rate,50,30.0,250,2,-0.09375053134909314,0,2,,,
anm106211,anm131970,baseline_subtracted_rate,50,40.0,0,19,0.1444526977415275,15,19,0.00457763671875,0.0192108154296875,0.020580291748046875
anm106211,anm131970,baseline_subtracted_rate,50,40.0,20,19,0.1188308076939495,14,19,0.007144927978515625,0.063568115234375,0.020580291748046875
anm106211,anm131970,baseline_subtracted_rate,50,40.0,30,19,0.1472467369737671,14,19,0.00823211669921875,0.063568115234375,0.020580291748046875
anm106211,anm131970,baseline_subtracted_rate,50,40.0,50,19,0.03572758811009815,11,19,0.1336212158203125,0.6476058959960938,0.19650178797104778
anm106211,anm131970,baseline_subtracted_rate,50,40.0,100,19,-0.0044031598706234,9,19,0.8595733642578125,1.0,0.8953889211018881
anm106211,anm131970,baseline_subtracted_rate,50,40.0,250,2,-0.11625109158556345,0,2,,,
anm106211,anm131970,baseline_subtracted_rate,50,50.0,0,19,0.1395935069697032,15,19,0.0033416748046875,0.0192108154296875,0.020580291748046875
anm106211,anm131970,baseline_subtracted_rate,50,50.0,20,19,0.1142221059854526,14,19,0.0061798095703125,0.063568115234375,0.020580291748046875
anm106211,anm131970,baseline_subtracted_rate,50,50.0,30,19,0.1491383290226794,14,19,0.005329132080078125,0.063568115234375,0.020580291748046875
anm106211,anm131970,baseline_subtracted_rate,50,50.0,50,19,0.07656245898411454,12,19,0.02298736572265625,0.359283447265625,0.038312276204427086
anm106211,anm131970,baseline_subtracted_rate,50,50.0,100,19,-0.016880294288731,9,19,1.0,1.0,1.0
anm106211,anm131970,baseline_subtracted_rate,50,50.0,250,2,-0.10658187192309415,0,2,,,
anm106211,anm134333,post_only,10,,0,20,0.00923252956546945,11,20,0.7285060882568359,0.8238029479980469,0.8672691526867095
anm106211,anm134333,post_only,10,,20,20,-0.0008697940638600497,10,20,0.7011814117431641,1.0,0.8672691526867095
anm106211,anm134333,post_only,10,,30,19,-0.005903262051202,9,19,0.9843215942382812,1.0,0.9843215942382812
anm106211,anm134333,post_only,10,,50,19,-0.01228320199144805,9,19,0.6225624084472656,1.0,0.8191610637464022
anm106211,anm134333,post_only,10,,100,18,-0.0180450292087564,7,18,0.9661178588867188,0.480682373046875,0.9843215942382812
anm106211,anm134333,post_only,10,,250,3,-0.0928174314796179,0,3,,,
anm106211,anm134333,post_only,20,,0,20,0.0123504181298809,11,20,0.3299827575683594,0.8238029479980469,0.5188524723052979
anm106211,anm134333,post_only,20,,20,20,0.020037280086167605,13,20,0.20244979858398438,0.26317596435546875,0.5188524723052979
anm106211,anm134333,post_only,20,,30,19,0.0026781620020156997,10,19,0.24125289916992188,1.0,0.5188524723052979
anm106211,anm134333,post_only,20,,50,19,0.038010197878541,12,19,0.104156494140625,0.359283447265625,0.5188524723052979
anm106211,anm134333,post_only,20,,100,18,0.028733418572743252,10,18,0.32472991943359375,0.8145294189453125,0.5188524723052979
anm106211,anm134333,post_only,20,,250,3,-0.0956687218878489,0,3,,,
anm106211,anm134333,post_only,30,,0,19,0.0238048628150489,13,19,0.08742904663085938,0.1670684814453125,0.5188524723052979
anm106211,anm134333,post_only,30,,20,19,0.0303197752713522,12,19,0.09551239013671875,0.359283447265625,0.5188524723052979
anm106211,anm134333,post_only,30,,30,19,0.030446515387166,13,19,0.049365997314453125,0.1670684814453125,0.5188524723052979
anm106211,anm134333,post_only,30,,50,19,0.0541836004423411,12,19,0.07283401489257812,0.359283447265625,0.5188524723052979
anm106211,anm134333,post_only,30,,100,19,-0.020222937436708298,8,19,0.76800537109375,0.6476058959960938,0.8676653322966202
anm106211,anm134333,post_only,30,,250,3,-0.1217673959799138,0,3,,,
anm106211,anm134333,post_only,40,,0,19,0.0041242212062642,11,19,0.312408447265625,0.6476058959960938,0.5188524723052979
anm106211,anm134333,post_only,40,,20,19,0.0020757340315611,10,19,0.48996734619140625,1.0,0.7205402149873621
anm106211,anm134333,post_only,40,,30,19,0.0099099552839838,12,19,0.3320655822753906,0.359283447265625,0.5188524723052979
anm106211,anm134333,post_only,40,,50,19,0.0121136245138765,10,19,0.2753410339355469,1.0,0.5188524723052979
anm106211,anm134333,post_only,40,,100,18,-0.041788407674566805,6,18,0.550872802734375,0.237884521484375,0.7651011149088541
anm106211,anm134333,post_only,40,,250,3,-0.097029412356623,0,3,,,
anm106211,anm134333,post_only,50,,0,19,0.0180504917592215,10,19,0.312408447265625,1.0,0.5188524723052979
anm106211,anm134333,post_only,50,,20,19,-0.0023746533557242,9,19,0.2934989929199219,1.0,0.5188524723052979
anm106211,anm134333,post_only,50,,30,19,0.005071476333714402,10,19,0.2934989929199219,1.0,0.5188524723052979
anm106211,anm134333,post_only,50,,50,19,-0.0018827122806315,9,19,0.7982521057128906,1.0,0.8676653322966202
anm106211,anm134333,post_only,50,,100,18,-0.03178933160144685,6,18,0.30379486083984375,0.237884521484375,0.5188524723052979
anm106211,anm134333,post_only,50,,250,2,-0.1063903969479221,0,2,,,
anm106211,anm134333,baseline_subtracted_rate,50,10.0,0,19,0.0861895426940219,13,19,0.007144927978515625,0.1670684814453125,0.013720194498697916
anm106211,anm134333,baseline_subtracted_rate,50,10.0,20,19,0.0573534456858365,14,19,0.00823211669921875,0.063568115234375,0.013720194498697916
anm106211,anm134333,baseline_subtracted_rate,50,10.0,30,19,0.0618128222636151,15,19,0.007144927978515625,0.0192108154296875,0.013720194498697916
anm106211,anm134333,baseline_subtracted_rate,50,10.0,50,19,0.0158847815830023,11,19,0.37359619140625,0.6476058959960938,0.4669952392578125
anm106211,anm134333,baseline_subtracted_rate,50,10.0,100,18,-0.019378513255156153,7,18,0.468292236328125,0.480682373046875,0.5574907575334821
anm106211,anm134333,baseline_subtracted_rate,50,10.0,250,2,-0.05142430343574234,0,2,,,
anm106211,anm134333,baseline_subtracted_rate,50,20.0,0,19,0.1090429246720323,14,19,0.003917694091796875,0.063568115234375,0.013720194498697916
anm106211,anm134333,baseline_subtracted_rate,50,20.0,20,19,0.1101606091879167,14,19,0.003917694091796875,0.063568115234375,0.013720194498697916
anm106211,anm134333,baseline_subtracted_rate,50,20.0,30,19,0.059871434536086246,14,19,0.00823211669921875,0.063568115234375,0.013720194498697916
anm106211,anm134333,baseline_subtracted_rate,50,20.0,50,19,0.0242356309919321,13,19,0.12318801879882812,0.1670684814453125,0.18115885117474725
anm106211,anm134333,baseline_subtracted_rate,50,20.0,100,18,-0.018699734340076477,8,18,0.83172607421875,0.8145294189453125,0.9010871251424154
anm106211,anm134333,baseline_subtracted_rate,50,20.0,250,2,-0.0672924713718695,0,2,,,
anm106211,anm134333,baseline_subtracted_rate,50,30.0,0,19,0.1596969895746452,15,19,0.00202178955078125,0.0192108154296875,0.013720194498697916
anm106211,anm134333,baseline_subtracted_rate,50,30.0,20,19,0.1157172944323541,14,19,0.005329132080078125,0.063568115234375,0.013720194498697916
anm106211,anm134333,baseline_subtracted_rate,50,30.0,30,19,0.1218635040870457,15,19,0.00457763671875,0.0192108154296875,0.013720194498697916
anm106211,anm134333,baseline_subtracted_rate,50,30.0,50,19,0.0158847815830023,12,19,0.22532272338867188,0.359283447265625,0.29647726761667353
anm106211,anm134333,baseline_subtracted_rate,50,30.0,100,18,-0.00731941522414165,8,18,0.7987060546875,0.8145294189453125,0.9010871251424154
anm106211,anm134333,baseline_subtracted_rate,50,30.0,250,2,-0.09375053134909314,0,2,,,
anm106211,anm134333,baseline_subtracted_rate,50,40.0,0,19,0.1243023096164022,16,19,0.002399444580078125,0.004425048828125,0.013720194498697916
anm106211,anm134333,baseline_subtracted_rate,50,40.0,20,19,0.1188308076939495,14,19,0.0061798095703125,0.063568115234375,0.013720194498697916
anm106211,anm134333,baseline_subtracted_rate,50,40.0,30,19,0.1472467369737671,14,19,0.0061798095703125,0.063568115234375,0.013720194498697916
anm106211,anm134333,baseline_subtracted_rate,50,40.0,50,19,0.03572758811009815,11,19,0.1336212158203125,0.6476058959960938,0.18558502197265625
anm106211,anm134333,baseline_subtracted_rate,50,40.0,100,18,-0.012239660678545627,8,18,0.8650436401367188,0.8145294189453125,0.9010871251424154
anm106211,anm134333,baseline_subtracted_rate,50,40.0,250,2,-0.11625109158556345,0,2,,,
anm106211,anm134333,baseline_subtracted_rate,50,50.0,0,19,0.1247318855808731,16,19,0.002399444580078125,0.004425048828125,0.013720194498697916
anm106211,anm134333,baseline_subtracted_rate,50,50.0,20,19,0.1142221059854526,14,19,0.0061798095703125,0.063568115234375,0.013720194498697916
anm106211,anm134333,baseline_subtracted_rate,50,50.0,30,19,0.1491383290226794,14,19,0.005329132080078125,0.063568115234375,0.013720194498697916
anm106211,anm134333,baseline_subtracted_rate,50,50.0,50,19,0.071154156564849,12,19,0.025821685791015625,0.359283447265625,0.040346384048461914
anm106211,anm134333,baseline_subtracted_rate,50,50.0,100,18,-0.009587720907288325,8,18,1.0,0.8145294189453125,1.0
anm106211,anm134333,baseline_subtracted_rate,50,50.0,250,2,-0.10658187192309415,0,2,,,
anm106211,anm17702,post_only,10,,0,20,0.00923252956546945,11,20,0.8408222198486328,0.8238029479980469,0.9343188741932744
anm106211,anm17702,post_only,10,,20,20,-0.0008697940638600497,10,20,0.7561664581298828,1.0,0.9343188741932744
anm106211,anm17702,post_only,10,,30,19,-0.005903262051202,9,19,0.9529838562011719,1.0,0.9529838562011719
anm106211,anm17702,post_only,10,,50,19,-0.01228320199144805,9,19,0.8595733642578125,1.0,0.9343188741932744
anm106211,anm17702,post_only,10,,100,18,-0.0180450292087564,7,18,0.7987060546875,0.480682373046875,0.9343188741932744
anm106211,anm17702,post_only,10,,250,3,-0.0928174314796179,0,3,,,
anm106211,anm17702,post_only,20,,0,20,0.0123504181298809,11,20,0.3117942810058594,0.8238029479980469,0.5798748561314174
anm106211,anm17702,post_only,20,,20,20,0.020037280086167605,12,20,0.20244979858398438,0.5034446716308594,0.5798748561314174
anm106211,anm17702,post_only,20,,30,19,0.012140974395345096,11,19,0.22532272338867188,0.6476058959960938,0.5798748561314174
anm106211,anm17702,post_only,20,,50,19,0.0311149431066223,13,19,0.09551239013671875,0.1670684814453125,0.5798748561314174
anm106211,anm17702,post_only,20,,100,18,0.02889065762054295,10,18,0.32472991943359375,0.8145294189453125,0.5798748561314174
anm106211,anm17702,post_only,20,,250,3,-0.0956687218878489,0,3,,,
anm106211,anm17702,post_only,30,,0,19,0.0181454911056687,14,19,0.07283401489257812,0.063568115234375,0.5798748561314174
anm106211,anm17702,post_only,30,,20,19,0.0227200038264432,13,19,0.06628799438476562,0.1670684814453125,0.5798748561314174
anm106211,anm17702,post_only,30,,30,19,0.030446515387166,14,19,0.044559478759765625,0.063568115234375,0.5798748561314174
anm106211,anm17702,post_only,30,,50,19,0.04960950817972,12,19,0.12318801879882812,0.359283447265625,0.5798748561314174
anm106211,anm17702,post_only,30,,100,19,-0.020222937436708298,9,19,0.7380905151367188,1.0,0.9343188741932744
anm106211,anm17702,post_only,30,,250,3,-0.1217673959799138,0,3,,,
anm106211,anm17702,post_only,40,,0,19,0.0044194482975804,12,19,0.24125289916992188,0.359283447265625,0.5798748561314174
anm106211,anm17702,post_only,40,,20,19,0.0065654097357755,11,19,0.37359619140625,0.6476058959960938,0.5815618178423714
anm106211,anm17702,post_only,40,,30,19,0.0146234266598146,13,19,0.24125289916992188,0.1670684814453125,0.5798748561314174
anm106211,anm17702,post_only,40,,50,19,0.0121136245138765,10,19,0.3524589538574219,1.0,0.5815618178423714
anm106211,anm17702,post_only,40,,100,18,-0.041788407674566805,6,18,0.522613525390625,0.237884521484375,0.7258521185980903
anm106211,anm17702,post_only,40,,250,3,-0.097029412356623,0,3,,,
anm106211,anm17702,post_only,50,,0,19,0.00449456595338555,10,19,0.3954620361328125,1.0,0.5815618178423714
anm106211,anm17702,post_only,50,,20,19,0.006115615934507251,10,19,0.312408447265625,1.0,0.5798748561314174
anm106211,anm17702,post_only,50,,30,19,0.005071476333714402,11,19,0.2934989929199219,0.6476058959960938,0.5798748561314174
anm106211,anm17702,post_only,50,,50,19,-0.0018827122806315,9,19,0.9217147827148438,1.0,0.9529838562011719
anm106211,anm17702,post_only,50,,100,18,-0.028881651558888173,6,18,0.30379486083984375,0.237884521484375,0.5798748561314174
anm106211,anm17702,post_only,50,,250,2,-0.1063903969479221,0,2,,,
anm106211,anm17702,baseline_subtracted_rate,50,10.0,0,19,0.0861895426940219,12,19,0.0180816650390625,0.359283447265625,0.037670135498046875
anm106211,anm17702,baseline_subtracted_rate,50,10.0,20,19,0.0573534456858365,13,19,0.02298736572265625,0.1670684814453125,0.038312276204427086
anm106211,anm17702,baseline_subtracted_rate,50,10.0,30,19,0.0618128222636151,14,19,0.02298736572265625,0.063568115234375,0.038312276204427086
anm106211,anm17702,baseline_subtracted_rate,50,10.0,50,19,0.0158847815830023,11,19,0.5948867797851562,0.6476058959960938,0.7081985473632812
anm106211,anm17702,baseline_subtracted_rate,50,10.0,100,18,-0.008191928940134301,8,18,0.550872802734375,0.8145294189453125,0.6885910034179688
anm106211,anm17702,baseline_subtracted_rate,50,10.0,250,2,-0.05142430343574234,0,2,,,
anm106211,anm17702,baseline_subtracted_rate,50,20.0,0,19,0.1368126520769369,13,19,0.007144927978515625,0.1670684814453125,0.030072530110677082
anm106211,anm17702,baseline_subtracted_rate,50,20.0,20,19,0.1223797095430841,13,19,0.00823211669921875,0.1670684814453125,0.030072530110677082
anm106211,anm17702,baseline_subtracted_rate,50,20.0,30,19,0.059871434536086246,13,19,0.020412445068359375,0.1670684814453125,0.038312276204427086
anm106211,anm17702,baseline_subtracted_rate,50,20.0,50,19,0.0158847815830023,12,19,0.25792694091796875,0.359283447265625,0.37930432487936583
anm106211,anm17702,baseline_subtracted_rate,50,20.0,100,18,-0.0047686120106421245,9,18,0.7660293579101562,1.0,0.7979472478230795
anm106211,anm17702,baseline_subtracted_rate,50,20.0,250,2,-0.0672924713718695,0,2,,,
anm106211,anm17702,baseline_subtracted_rate,50,30.0,0,19,0.1596969895746452,14,19,0.0033416748046875,0.063568115234375,0.030072530110677082
anm106211,anm17702,baseline_subtracted_rate,50,30.0,20,19,0.1536137042663175,13,19,0.01082611083984375,0.1670684814453125,0.030072530110677082
anm106211,anm17702,baseline_subtracted_rate,50,30.0,30,19,0.1218635040870457,14,19,0.01082611083984375,0.063568115234375,0.030072530110677082
anm106211,anm17702,baseline_subtracted_rate,50,30.0,50,19,0.010733797968194599,11,19,0.4180412292480469,0.6476058959960938,0.550054249010588
